,YEAR,CAMPUS,CNAME,MEETS,COURSE
956,22,57803003,UPLIFT EDUCATIO,38.0,STAAR - 3rd Reading
957,22,57803008,UPLIFT MIGHTY S,31.0,STAAR - 3rd Reading
958,22,57803017,UPLIFT ASCEND,32.0,STAAR - 3rd Reading
959,22,57803018,UPLIFT ELEVATE,26.0,STAAR - 3rd Reading
961,22,57803102,UPLIFT EDUCATIO,53.0,STAAR - 3rd Reading
962,22,57803103,UPLIFT GRADUS P,53.0,STAAR - 3rd Reading
963,22,57803104,UPLIFT HEIGHTS,39.0,STAAR - 3rd Reading
964,22,57803105,UPLIFT PINNACLE,31.0,STAAR - 3rd Reading
965,22,57803106,UPLIFT TRIUMPH,37.0,STAAR - 3rd Reading
966,22,57803107,UPLIFT LUNA PRE,39.0,STAAR - 3rd Reading
967,22,57803108,UPLIFT MERIDIAN,33.0,STAAR - 3rd Reading
968,22,57803109,UPLIFT SUMMIT I,50.0,STAAR - 3rd Reading
969,22,57803110,UPLIFT ATLAS PR,44.0,STAAR - 3rd Reading
970,22,57803111,UPLIFT HAMPTON,40.0,STAAR - 3rd Reading
971,22,57803112,UPLIFT WILLIAMS,33.0,STAAR - 3rd Reading
972,22,57803114,UPLIFT WHITE RO,38.0,STAAR - 3rd Reading
977,22,57807001,LIFE SCHOOL OAK,27.0,STAAR - 3rd Reading
981,22,57807105,LIFE SCHOOL MOU,39.0,STAAR - 3rd Reading
1067,22,57905101,JOHN Q ADAMS EL,33.0,STAAR - 3rd Reading
1071,22,57905107,JOSE 'JOE' MAY,20.0,STAAR - 3rd Reading
1072,22,57905108,BAYLES EL,12.0,STAAR - 3rd Reading
1074,22,57905110,ANNIE WEBB BLAN,36.0,STAAR - 3rd Reading
1076,22,57905114,JOHN NEELY BRYA,20.0,STAAR - 3rd Reading
1078,22,57905116,DAVID G BURNET,59.0,STAAR - 3rd Reading
1085,22,57905125,CASA VIEW EL,49.0,STAAR - 3rd Reading
1091,22,57905133,BARBARA JORDAN,41.0,STAAR - 3rd Reading
1093,22,57905135,EVERETTE LEE DE,73.0,STAAR - 3rd Reading
1097,22,57905141,JILL STONE EL A,33.0,STAAR - 3rd Reading
1112,22,57905161,SYLVIA MENDEZ C,24.0,STAAR - 3rd Reading
1113,22,57905162,MOCKINGBIRD EL,74.0,STAAR - 3rd Reading
1114,22,57905163,CEDAR CREST EL,23.0,STAAR - 3rd Reading
1117,22,57905167,KLEBERG EL,52.0,STAAR - 3rd Reading
1118,22,57905168,OBADIAH KNIGHT,30.0,STAAR - 3rd Reading
1121,22,57905171,LAKEWOOD EL,96.0,STAAR - 3rd Reading
1123,22,57905173,JESUS MOROLES E,55.0,STAAR - 3rd Reading
1124,22,57905174,GENEVA HEIGHTS,62.0,STAAR - 3rd Reading
1130,22,57905181,MAPLE LAWN EL,35.0,STAAR - 3rd Reading
1131,22,57905182,HERBERT MARCUS,42.0,STAAR - 3rd Reading
1134,22,57905185,WILLIAM B MILLE,43.0,STAAR - 3rd Reading
1141,22,57905192,JOHN F PEELER E,44.0,STAAR - 3rd Reading
1143,22,57905194,K B POLK CENTER,34.0,STAAR - 3rd Reading
1147,22,57905199,REINHARDT EL,53.0,STAAR - 3rd Reading
1149,22,57905202,ORAN M ROBERTS,38.0,STAAR - 3rd Reading
1152,22,57905205,CLINTON P RUSSE,30.0,STAAR - 3rd Reading
1153,22,57905206,ALEX SANGER PRE,65.0,STAAR - 3rd Reading
